time,open,high,low,close,tick_volume,spread,real_volume
1724410620,1.11192,1.11196,1.11186,1.11187,97,0,0
1724410680,1.11187,1.1118999999999999,1.11185,1.11188,69,0,0
1724410740,1.11188,1.11201,1.11187,1.11194,88,0,0
1724410800,1.11194,1.11216,1.11194,1.11208,70,0,0
1724410860,1.11209,1.1121,1.11202,1.11205,50,0,0
1724410920,1.11205,1.11217,1.11201,1.11208,67,0,0
1724410980,1.11208,1.11208,1.11177,1.11179,66,0,0
1724411040,1.11179,1.11193,1.11176,1.11187,50,0,0
1724411100,1.11186,1.11186,1.11174,1.11183,72,0,0
1724411160,1.11183,1.1118999999999999,1.11177,1.11188,51,0,0
1724411220,1.11188,1.11189,1.11174,1.11179,84,0,0
1724411280,1.11178,1.11205,1.11177,1.11205,71,0,0
1724411340,1.11205,1.11217,1.11202,1.11217,47,0,0
1724411400,1.11216,1.11223,1.11215,1.1122,51,0,0
1724411460,1.1122,1.11226,1.11216,1.11225,38,0,0
1724411520,1.11225,1.11228,1.11213,1.11217,29,0,0
1724411580,1.11217,1.11218,1.11211,1.11215,31,0,0
1724411640,1.11215,1.11217,1.11198,1.11198,42,0,0
1724411700,1.11198,1.11204,1.11189,1.11189,31,0,0
1724411760,1.11188,1.11195,1.11188,1.11194,31,0,0
1724411820,1.11194,1.11199,1.11187,1.11198,56,0,0
1724411880,1.11197,1.11208,1.11197,1.11208,58,0,0
1724411940,1.1120700000000001,1.1121,1.11197,1.1121,43,0,0
1724412000,1.1121,1.1121,1.11193,1.11201,43,0,0
1724412060,1.11201,1.11202,1.11193,1.11201,35,0,0
1724412120,1.11201,1.11202,1.1118999999999999,1.11191,20,0,0
1724412180,1.11191,1.11197,1.11191,1.11192,9,0,0
1724412240,1.11192,1.11199,1.11187,1.11195,43,0,0
1724412300,1.11194,1.11216,1.11192,1.1121,62,0,0
1724412360,1.1121,1.11225,1.1121,1.11225,46,0,0
1724412420,1.11224,1.11227,1.11221,1.11226,51,0,0
1724412480,1.11226,1.11228,1.11216,1.11219,35,0,0
1724412540,1.11219,1.11226,1.11219,1.11225,58,0,0
1724412600,1.11225,1.11227,1.11214,1.11217,31,0,0
1724412660,1.11217,1.11224,1.1121,1.1121,77,0,0
1724412720,1.1121,1.1121,1.11204,1.11205,43,0,0
1724412780,1.11205,1.1122,1.11204,1.11215,41,0,0
1724412840,1.11215,1.11215,1.11206,1.11209,34,0,0
1724412900,1.11209,1.11213,1.11197,1.11212,47,0,0
1724412960,1.11212,1.11225,1.11211,1.11221,55,0,0
1724413020,1.11222,1.11225,1.11217,1.1122,31,0,0
1724413080,1.11227,1.1123,1.11215,1.11219,61,0,0
1724413140,1.11222,1.11229,1.11218,1.11223,97,0,0
1724413200,1.11223,1.11227,1.11218,1.11227,50,0,0
1724413260,1.11228,1.11231,1.11219,1.11219,24,0,0
1724413320,1.11219,1.11227,1.11219,1.11223,33,0,0
1724413380,1.11223,1.11231,1.11217,1.11227,35,0,0
1724413440,1.11227,1.11229,1.11225,1.11227,55,0,0
1724413500,1.11227,1.11239,1.11227,1.11238,72,0,0
1724413560,1.11238,1.11238,1.11224,1.11231,54,0,0
1724413620,1.11231,1.11237,1.11227,1.11236,53,0,0
1724413680,1.11236,1.11236,1.11228,1.11231,52,0,0
1724413740,1.11232,1.11237,1.1123,1.11234,37,0,0
1724413800,1.11234,1.11239,1.11234,1.11236,18,0,0
1724413860,1.11236,1.11236,1.11225,1.11227,32,0,0
1724413920,1.11227,1.11229,1.1122,1.11229,43,0,0
1724413980,1.11229,1.11236,1.11227,1.11227,76,0,0
1724414040,1.11229,1.11238,1.11222,1.11238,64,0,0
1724414100,1.11238,1.11238,1.11221,1.11222,52,0,0
1724414160,1.11222,1.11225,1.11218,1.11224,57,0,0
1724414220,1.11222,1.11225,1.11212,1.11213,120,0,0
1724414280,1.11212,1.11224,1.11209,1.11224,111,0,0
1724414340,1.11224,1.1123,1.1122,1.1123,80,0,0
1724414400,1.1123,1.11238,1.11227,1.11232,77,0,0
1724414460,1.11231,1.11239,1.11221,1.11228,55,0,0
1724414520,1.11228,1.11231,1.11226,1.11228,36,0,0
1724414580,1.11228,1.11228,1.11222,1.11225,38,0,0
1724414640,1.11225,1.11225,1.11215,1.11218,71,0,0
1724414700,1.11218,1.11222,1.11214,1.11216,71,0,0
1724414760,1.11216,1.11231,1.11213,1.11229,88,0,0
1724414820,1.11228,1.11233,1.11224,1.11229,66,0,0
1724414880,1.11229,1.1123,1.1122,1.11225,81,0,0
1724414940,1.11225,1.11225,1.11215,1.11221,21,0,0
1724415000,1.11221,1.11225,1.11219,1.11224,32,0,0
1724415060,1.11224,1.11225,1.11215,1.11216,26,0,0
1724415120,1.11216,1.11239,1.11216,1.11237,45,0,0
1724415180,1.11237,1.1124,1.11231,1.11238,37,0,0
1724415240,1.11239,1.11241,1.11238,1.11241,43,0,0
1724415300,1.11241,1.11243,1.11239,1.11241,11,0,0
1724415360,1.11241,1.11242,1.11225,1.11227,29,0,0
1724415420,1.11227,1.1124,1.11227,1.11238,26,0,0
1724415480,1.11238,1.11242,1.11237,1.11242,28,0,0
1724415540,1.11242,1.11243,1.11237,1.11239,41,0,0
1724415600,1.11239,1.11253,1.11237,1.11253,39,0,0
1724415660,1.11253,1.1126800000000001,1.1125,1.1126800000000001,70,0,0
1724415720,1.1126800000000001,1.11273,1.11261,1.11262,44,0,0
1724415780,1.11262,1.11262,1.11253,1.11258,17,0,0
1724415840,1.11258,1.1126,1.11249,1.11249,26,0,0
1724415900,1.11249,1.11258,1.11245,1.11258,47,0,0
1724415960,1.11258,1.1126,1.11257,1.11259,26,0,0
1724416020,1.11259,1.11266,1.11257,1.11258,46,0,0
1724416080,1.11258,1.11267,1.11258,1.11263,52,0,0
1724416140,1.11263,1.11263,1.11252,1.11252,47,0,0
1724416200,1.11252,1.11255,1.11243,1.11249,69,0,0
1724416260,1.11249,1.11255,1.11247,1.11255,47,0,0
1724416320,1.11255,1.1126,1.11253,1.11259,38,0,0
1724416380,1.11259,1.11259,1.11246,1.11256,42,0,0
1724416440,1.11256,1.11259,1.11253,1.11258,30,0,0
1724416500,1.11258,1.11258,1.11244,1.1125099999999999,66,0,0
1724416560,1.11252,1.11259,1.1125099999999999,1.11257,21,0,0
1724416620,1.11257,1.11258,1.11252,1.11254,41,0,0
1724416680,1.11254,1.11254,1.11246,1.11247,34,0,0
1724416740,1.11247,1.11256,1.11247,1.1125099999999999,52,0,0
1724416800,1.1125099999999999,1.11254,1.11247,1.11247,54,0,0
1724416860,1.11248,1.11248,1.11227,1.11229,78,0,0
1724416920,1.11229,1.11229,1.11219,1.11223,52,0,0
1724416980,1.11223,1.11227,1.11222,1.11224,44,0,0
1724417040,1.11224,1.11227,1.11218,1.11218,45,0,0
1724417100,1.11219,1.11219,1.11212,1.11217,38,0,0
1724417160,1.11217,1.11221,1.11213,1.11213,34,0,0
1724417220,1.11213,1.11218,1.11213,1.11215,43,0,0
1724417280,1.11215,1.11215,1.11209,1.11212,49,0,0
1724417340,1.11212,1.11212,1.11197,1.11197,23,0,0
1724417400,1.11197,1.11204,1.11193,1.11203,35,0,0
1724417460,1.11203,1.11208,1.11197,1.11197,53,0,0
1724417520,1.11197,1.11201,1.11187,1.11198,54,0,0
1724417580,1.11198,1.11204,1.11188,1.11188,48,0,0
1724417640,1.11188,1.11189,1.11176,1.11179,66,0,0
1724417700,1.11177,1.1118,1.1117,1.11176,48,0,0
1724417760,1.11176,1.11178,1.11168,1.11173,33,0,0
1724417820,1.11173,1.11179,1.11173,1.11176,40,0,0
1724417880,1.11176,1.11181,1.11173,1.11178,38,0,0
1724417940,1.11178,1.11182,1.11171,1.11173,43,0,0
1724418000,1.11173,1.11173,1.11167,1.11168,26,0,0
1724418060,1.11168,1.11169,1.11156,1.11158,36,0,0
1724418120,1.11158,1.11166,1.11158,1.11161,28,0,0
1724418180,1.11162,1.11162,1.11154,1.11162,47,0,0
1724418240,1.11162,1.11167,1.1116,1.1116,22,0,0
1724418300,1.1116,1.11178,1.11158,1.11175,65,0,0
1724418360,1.11175,1.11188,1.11175,1.11187,46,0,0
1724418420,1.11186,1.11199,1.11185,1.11198,28,0,0
1724418480,1.11198,1.11203,1.11198,1.11202,42,0,0
1724418540,1.11203,1.11211,1.11203,1.11206,46,0,0
1724418600,1.11206,1.11217,1.112,1.11201,75,0,0
1724418660,1.112,1.112,1.11186,1.11188,29,0,0
